title,url,abstract
Practices Worth Preserving: Knowing when to Offload to Technology,https://link.springer.com/article/10.1007/s13347-025-00925-1,"Recent advances in automation and Artificial Intelligence allow for offloading many human practices to technology, which may be detrimental to practical wisdom, according to a recent argument by Andrew Zelny. As such, we have reason to preserve certain human practices even if we personally find them tedious (e.g. writing letters or mundane chores) in order to protect how we, as a society, respect the idea of practice itself . Still, not all practices are worth preserving, and humans have finite attention and resources—we have to select the activities we do engage in. This introduces a new challenge: how to reconcile the aim of preserving practices out of respect for the idea of practice itself, and choosing which practices can be legitimately offloaded to technology. One way to address this challenge is to unpack what makes a practice good or worthwhile. Two approaches are well-placed for this task: Alasdair MacIntyre’s account of common practices, and the philosophical perfectionist concept of ‘unity in diversity’. Together, they provide a normative framework for determining when it might be permissible to offload activities to technology, and when it is necessary to insist on human activity."
The Epistemology of Algorithmic Narrative and the Problem of Creative Authenticity,https://link.springer.com/article/10.1007/s13347-025-01011-2,"In this commentary of Mollema’s “AI-generated literature, distant writing and the reader: Reflections on Floridi and Calvino” we examine some epistemological implications of his analysis of AI-generated literature and distant writing . Mollema supports a de-anthropomorphized conception of narrative creation because he believes writers and Big Language Models share identical functions in navigating narrative space to preserve narrative coherence or isotropy. The author’s thesis undergoes an analytical epistemological evaluation that analyses three essential questions about narrative production creative knowledge. Can we attribute genuine knowledge-how to algorithmic systems in relation to creative domains? The automation of literary production generates what kind of potential threats to knowledge acquisition? The research uses philosophical knowledge-how, understanding, intentionality and social epistemology to demonstrate Mollema’s accurate identification of narrative creation similarities between humans and machines but his framework potentially conceals fundamental epistemological differences. Through purposes and meanings, the human writer experiences narrative space which enables interpretative practices to create epistemic value in creative work. Mollema makes his most important contribution by showing how production activities can be automated yet interpretation for meaning creation remains impossible to automate. Literary knowledge shows human systems receive less than artificial systems because human interpretation remains essential for meaning creation although navigation skills can be divided between humans and machines. The final section of the commentary evaluates how Mollemass literary reductionism theory affects the diversity of knowledge in creative activities."
A Proposal of Revision of Floridi’s Conjecture,https://link.springer.com/article/10.1007/s13347-026-01041-4,"In response to Luciano Floridi’s conjecture on a fundamental trade‑off between certainty and scope in symbolic and generative AI (Floridi, 2025 ), we firstly propose a shift in perspective by relocating the problem of quantifying the conjecture from the viewpoint proposed in the original paper, which considers AI machinery as static usage-independent artefacts, to a pragmatism-driven one which recovers the central role of the users in the evaluation of a system and transforms the quantities involved in the conjecture into achievable field measurements, taking into account the intrinsic probabilistic nature of modern generative AI. Secondly, based on this shift of perspective, we identify formal issues in the original definitions—specifically, the conflation of probabilistic and order‑theoretic notions in model correctness (C) and the opaque use of cumulative Kolmogorov complexity for mapping scope (S) and propose alternatives that fit the new conceptualization and resolve the identified issues. In summary, although retaining most of the original philosophical foundations and motivations, we (i) reframe the general problem introducing aspects related to usage in the conceptualization of the problem; (ii) introduce an Epistemic Certainty Level that replaces a mixed supremum–probability measure with a coherent expectation over indicator functions on output space’s user-driven equivalence classes; (iii) substitute cumulative Kolmogorov complexity with Shannon joint entropy. In our judgement, these revisions better quantify input/output mapping scope and make the conjecture more tractable in practice, by turning it from an aprioristic system evaluation into a field measurement."
"AI, Authenticity, and the Chatbot between Us: Commentary on Battisti",https://link.springer.com/article/10.1007/s13347-025-00880-x,"This commentary builds on Davide Battisti’s proposal of second-person authenticity as a moral standard challenged by AI-mediated romantic communication. While endorsing the ethical concerns raised, I explore whether such mediation—if used reflectively and with a degree of co-authorship—can in fact enhance moral engagement. Drawing on examples and theories from moral philosophy and cognitive science, including Kant’s concept of moral worth and the extended mind framework, I argue that generative AI may support, rather than undermine, relational authenticity under certain conditions."
Navigating AI-Animal Alignment: A Reply to Coghlan and Parker,https://link.springer.com/article/10.1007/s13347-026-01049-w,"This commentary responds to Coghlan and Parker's commentary on our paper ""AI Alignment: The Case for Including Animals"" (2025). We clarify that our emphasis on ""basic"" alignment with animal welfare in large language models reflected pragmatic constraints rather than principled limits. Consequently, we agree that it is valuable to aim for varying degrees of alignment with animal welfare depending on the context of the AI application. We argue that adequate consideration of animals' interests entails an incrementalist requirement: advancing beyond basic alignment wherever possible. Recent developments, including the incorporation of animal welfare into Claude's constitution, suggest that such progress is both feasible and desirable."
Critical Engagement: The Value of Transparency of AI in Healthcare,https://link.springer.com/article/10.1007/s13347-025-01009-w,"Why is transparency important for the use of AI in healthcare? Responses to this question typically claim that transparency is something owed to the patient – because it is a condition for informed consent, legitimacy, accountability to the patient, etc. In this paper, we draw attention to why transparency can be valuable for medical practitioners. We claim that transparent AI models facilitate critical engagement by medical practitioners with AI models that they use. That is, they enable practitioners to assess why AI models make the recommendations they do, think about how those reasons affect their own beliefs and judgments, and make reasoned decisions about whether to maintain or change their own judgments. Via this process, AI models can help medical practitioners to improve their practice in a distinctly valuable way. In turn, this benefits both medical practitioners and their patients. This conclusion has important implications for AI design in healthcare: if AI models are to be used in healthcare, they should be designed in ways which allow medical practitioners to understand how the models arrive at their recommendations, and engage with them critically."
Hallucinating with AI: Distributed Delusions and “AI Psychosis”,https://link.springer.com/article/10.1007/s13347-026-01034-3,"There is much discussion of the false outputs that generative AI systems such as ChatGPT, Claude, Gemini, DeepSeek, and Grok create. In popular terminology, these have been dubbed “AI hallucinations”. However, deeming these AI outputs “hallucinations” is controversial, with many claiming this is a metaphorical misnomer. Nevertheless, in this paper, I argue that when viewed through the lens of distributed cognition theory, we can better see the dynamic ways in which inaccurate beliefs, distorted memories and self-narratives, and delusional thinking can emerge through human-AI interactions; extreme examples of which are sometimes referred to as “AI(-induced) psychosis”. In such cases, I suggest we move away from thinking about how an AI system might hallucinate at us, by generating false outputs, to thinking about how, when we routinely rely on generative AI to help us think, remember, and narrate, we can come to hallucinate with AI. This can happen when AI introduces errors into the distributed cognitive process, but it can also happen when AI sustains, affirms, and elaborates on our own delusional thinking and self-narratives. In particular, I suggest that the social conversational style of chatbots can lead them to play a dual-function—both as a cognitive artefact and a quasi-Other with whom we co-construct our sense of reality. It is this dual function, I suggest, that makes generative AI an unusual, and particularly seductive, case of distributed delusion."
Comment on Article: ‘Authorship and Chat GPT’ (PHTE D 23 -00197),https://link.springer.com/article/10.1007/s13347-024-00734-y,"These are different evaluations, of different things: in terms of evaluation of its content, a text may be faultless—a factual document that contains only well-evidenced truths, and is a balanced account of the events it describes; but one may strongly criticise the author for making these facts known to this audience at this juncture. (Doing so may be tactless, disastrous for the prospects of concluding an important business deal, contrary to the official secrets act…). In the following discussion I will focus on evaluations of the text, rather than of the author’s act of making it public. We can still make positive or negative evaluations of LLMs that produce texts, for their ability to produce texts with certain qualities; give them credit of a certain kind. Indeed such evaluations must surely be involved in developing better, more powerful LLMs. But not the kind that connects with responsibility and potential blame and praise for one’s actions. The Wikipedia entry for ‘Text (literary theory)’ begins: ‘In literary theory, a text is any object that can be ‘read’, whether this object is a work of literature, a street sign, an arrangement of buildings on a city block, or styles of clothing.’. Most such acts will be aimed at communication of this content. However, I don’t wish to rule out cases where an agent expresses content without any particular intended audience or communicative purpose in mind—she just is moved to express her thoughts, that is her entire purpose in uttering. Spontaneous exclamations to oneself (‘What a wonderful view!’) may be such. This accords with the Gricean programme in the philosophy of language, which theorises sentence-meanings as derived from, and explainable in terms of, the intentions with which tokens of them are typically uttered. (Grice 1969, Utterer’s Meaning and Intentions. Philosophical Review 78, 147-177.). ‘Intrinsic’ should be understood in a relaxed sense here. Intuitively, its syntax and semantics are properties of the text. But if, say, it is a text in English, its having the semantics it does will depend on whatever facts about usage fix the meanings of expressions of English. Moreover the everyday use of natural languages is peppered with expressions whose reference is fixed in part by the context of utterance; so this will be involved in fixing references in an LLM-produced text no less. There is no space in this short comment to address this point adequately. For some of these features it will be a matter of opinion and argument whether the text has these qualities, or the extent to which it does so. But if it does, it is in virtue of its features discernible by expert scrutiny."
AI Alignment: The Case for Including Animals,https://link.springer.com/article/10.1007/s13347-025-00979-1,"AI alignment efforts and proposals try to make AI systems ethical, safe and beneficial for humans by making them follow human intentions, preferences or values. However, these proposals largely disregard the vast majority of moral patients in existence: non-human animals. AI systems aligned through proposals which largely disregard concern for animal welfare pose significant near-term and long-term animal welfare risks. In this paper, we argue that we should prevent harm to non-human animals, when this does not involve significant costs, and therefore that we have strong moral reasons to at least align AI systems with a basic level of concern for animal welfare. We show how AI alignment with such a concern could be achieved, and why we should expect it to significantly reduce the harm non-human animals would otherwise endure as a result of continued AI development. We provide some recommended policies that AI companies and governmental bodies should consider implementing to ensure basic animal welfare protection."
The Limits of Calibration and the Possibility of Roles for Trustworthy AI,https://link.springer.com/article/10.1007/s13347-024-00771-7,"With increasing use of artificial intelligence (AI) in high-stakes contexts, a race for “trustworthy AI” is under way. However, Dorsch and Deroy ( Philosophy & Technology 37, 62, 2024) recently argued that regardless of its feasibility, morally trustworthy AI is unnecessary: We should merely rely on rather than trust AI, and carefully calibrate our reliance using the reliability scores which are often available. This short commentary on Dorsch and Deroy engages with the claim that morally trustworthy AI is unnecessary and argues that since there are important limits to how good calibration based on reliability scores can be, some residual roles for trustworthy AI (if feasible) are still possible."
Autonomy by Design: Preserving Human Autonomy in AI Decision-Support,https://link.springer.com/article/10.1007/s13347-025-00932-2,"AI systems increasingly support human decision-making across domains of professional, skill-based, and personal activity. While previous work has examined how AI might affect human autonomy globally, the effects of AI on domain-specific autonomy—the capacity for self-governed action within defined realms of skill or expertise—remain understudied. We analyze how AI decision-support systems affect two key components of domain-specific autonomy: skilled competence (the ability to make informed judgments within one's domain) and authentic value-formation (the capacity to form genuine domain-relevant values and preferences). By engaging with prior investigations and analyzing empirical cases across medical, financial, and educational domains, we demonstrate how the absence of reliable failure indicators and the potential for unconscious value shifts can erode domain-specific autonomy both immediately and over time. We then develop a constructive framework for autonomy-preserving AI support systems. We propose specific socio-technical design patterns—including careful role specification, implementation of defeater mechanisms, and support for reflective practice—that can help maintain domain-specific autonomy while leveraging AI capabilities. This framework provides concrete guidance for developing AI systems that enhance rather than diminish human agency within specialized domains of action."
AI-Related Risk: An Epistemological Approach,https://link.springer.com/article/10.1007/s13347-024-00755-7,"Risks connected with AI systems have become a recurrent topic in public and academic debates, and the European proposal for the AI Act explicitly adopts a risk-based tiered approach that associates different levels of regulation with different levels of risk. However, a comprehensive and general framework to think about AI-related risk is still lacking. In this work, we aim to provide an epistemological analysis of such risk building upon the existing literature on disaster risk analysis and reduction. We show how a multi-component analysis of risk, that distinguishes between the dimensions of hazard, exposure, and vulnerability, allows us to better understand the sources of AI-related risks and effectively intervene to mitigate them. This multi-component analysis also turns out to be particularly useful in the case of general-purpose and experimental AI systems, for which it is often hard to perform both ex-ante and ex-post risk analyses."
"AI’s Epistemic Harm: Reinforcement Learning, Collective Bias, and the New AI Culture War",https://link.springer.com/article/10.1007/s13347-025-00928-y,"Generative AI is increasingly used as an epistemic tool to aid inquiry, broaden our knowledge and generally help us find things out. It is now embedded in internet search functions to condense information and answer user questions without further need to access websites or news articles. However, models based on generative AI come with inherent flaws which may inhibit their effectiveness as tools to aid responsible inquiry. While the risk of misinformation due to ‘hallucinations’ has been documented, this paper instead focuses on the capacity for these models to present moral or political bias reflective of the preferences of the model designers and crowd worker labellers. This paper takes the novel approach of tracing the ethical issue of bias back to fundamental alignment problem within the process of Reinforced Learning from Human Feedback (RLHF), a key step in training generative AI models. The potential for language models to be influenced by their designers, censored to certain topics, or trained to be more politically leaning one way or another has the capability of insidiously causing epistemic harm. By applying the concepts of bias of crowds to the training process of language models I show how they can impede effective epistemic inquiry and cause epistemic and moral harm. In doing so I present an argument showing that the ethics of AI language models cannot be removed from the socio-technical systems from which they are created."
Can AI Rely on the Systematicity of Truth? The Challenge of Modelling Normative Domains,https://link.springer.com/article/10.1007/s13347-025-00864-x,"A key assumption fuelling optimism about the progress of Large Language Models (LLMs) in accurately and comprehensively modelling the world is that the truth is systematic : true statements about the world form a whole that is not just consistent , in that it contains no contradictions, but coherent , in that the truths are inferentially interlinked. This holds out the prospect that LLMs might in principle rely on that systematicity to fill in gaps and correct inaccuracies in the training data: consistency and coherence promise to facilitate progress towards comprehensiveness in an LLM’s representation of the world. However, philosophers have identified compelling reasons to doubt that the truth is systematic across all domains of thought, arguing that in normative domains, in particular, the truth is largely asystematic. I argue that insofar as the truth in normative domains is asystematic, this renders it correspondingly harder for LLMs to make progress, because they cannot then leverage the systematicity of truth. And the less LLMs can rely on the systematicity of truth, the less we can rely on them to do our practical deliberation for us, because the very asystematicity of normative domains requires human agency to play a greater role in practical thought."
The Role of Digital Literacy in Maintaining Autonomy in AI Decision-Support: Balancing the Burdens,https://link.springer.com/article/10.1007/s13347-025-00963-9,"Integrating AI systems into workflows risks undermining the competence of the people supported by them, specifically due to a loss of meta-cognitive competence. We discuss a recent suggestion to mitigate this through better uncertainty quantification. While this is certainly a step in the right direction, there is a question whether users are sufficiently supported to engage in critical reflection with literacy and tools alone. We therefore suggest that socio-technical system design focused on the role of AI systems is crucial to preserving autonomy, even when supported by uncertainty quantification."
